participant,lexicality,spelling,button,response,accuracy,previous_accuracy,rt,nletters,CELEX_frequency
1,N,grussier,2,N,1,1,571,8,0
1,N,guggaw,2,N,1,1,633,6,0
1,N,gumbler,2,N,1,1,647,7,0
1,N,gunwhiffs,2,N,1,1,506,9,0
1,N,gups,2,N,1,1,590,4,0
1,N,gyrbets,2,N,1,1,598,7,0
1,N,hadge,2,N,1,1,544,5,0
1,N,haffs,2,N,1,1,524,5,0
1,W,half,1,W,1,1,572,4,5895
1,W,hand,1,W,1,1,563,4,8217
1,N,hangcul,2,N,1,1,589,7,0
1,W,happened,1,W,1,1,588,8,3440
1,W,happy,1,W,1,1,515,5,2423
1,N,hawls,1,W,0,1,823,5,0
1,W,head,1,W,1,1,539,4,8174
1,W,hear,1,W,1,1,569,4,3344
1,W,help,1,W,1,1,567,4,6731
1,N,hertive,2,N,1,0,618,7,0
1,N,hewsest,2,N,1,1,553,7,0
1,N,hids,2,N,1,1,1146,4,0
1,W,higher,1,W,1,1,481,6,2411
1,W,home,1,W,1,1,495,4,8831
1,W,hot,1,W,1,1,517,3,2498
1,W,hour,1,W,1,1,592,4,2867
1,W,hours,1,W,1,1,550,5,3881
1,N,hulsy,2,N,1,1,593,5,0
1,W,human,1,W,1,1,496,5,5440
1,W,hundred,1,W,1,1,570,7,3568
1,N,hunflads,2,N,1,1,643,8,0
1,N,huppies,2,N,1,1,616,7,0
1,N,inbust,2,N,1,1,769,6,0
1,N,insones,2,N,1,1,685,7,0
1,W,instead,1,W,1,0,548,7,3028
1,W,involved,1,W,1,1,585,8,2704
1,N,iplate,2,N,1,1,516,6,0
1,N,isher,2,N,1,1,567,5,0
1,N,ision,2,N,1,1,821,5,0
1,N,jast,2,N,1,1,558,4,0
1,N,jaughts,2,N,1,1,477,7,0
1,N,juiring,2,N,1,1,505,7,0
1,N,kempian,2,N,1,1,574,7,0
1,W,kept,1,W,1,1,647,4,3750
1,N,khala,2,N,1,1,639,5,0
1,N,khandles,2,N,1,1,660,8,0
1,W,kind,1,W,1,1,569,4,8005
1,W,know,1,W,1,1,504,4,24352
1,W,known,1,W,1,1,534,5,4560
1,N,laf,2,N,1,1,520,3,0
1,N,lape,2,N,1,1,693,4,0
1,W,large,1,W,1,1,543,5,6638
1,N,lasits,2,N,1,1,518,6,0
1,W,late,1,W,1,1,553,4,3648
1,W,lay,1,W,1,1,568,3,2800
1,N,leckosks,2,N,1,1,492,8,0
1,W,led,1,W,1,1,593,3,2440
1,W,level,1,W,1,1,501,5,3433
1,W,light,1,W,1,1,508,5,5153
1,W,likely,1,W,1,1,663,6,3278
1,N,limetinge,2,N,1,1,615,9,0
1,N,lisedess,2,N,1,1,679,8,0
1,W,lives,1,W,1,1,511,5,2371
1,W,living,1,W,1,1,469,6,4034
1,W,local,1,W,1,0,503,5,4450
1,N,lombled,2,N,1,1,585,7,0
1,W,london,1,W,1,1,687,6,5368
1,W,long,1,W,1,1,516,4,13889
1,W,longer,1,W,1,0,487,6,4109
1,W,looked,1,W,1,1,641,6,9120
1,N,lornbints,2,N,1,1,722,9,0
1,N,lotawn,2,N,1,1,508,6,0
1,W,love,1,W,1,1,456,4,6321
1,N,lovoe,2,N,1,0,576,5,0
1,W,low,1,W,1,1,540,3,2536
1,N,lufic,2,N,1,1,544,5,0
1,N,maffice,2,N,1,1,619,7,0
1,N,maglide,2,N,1,1,657,7,0
1,W,main,1,W,1,1,500,4,3459
1,W,major,1,W,1,1,516,5,3322
1,W,making,1,W,1,1,606,6,4913
1,N,malms,2,N,1,1,800,5,0
1,N,mangly,2,N,1,1,630,6,0
1,N,martikes,2,N,1,1,609,8,0
1,N,maves,2,N,1,1,998,5,0
1,N,mavi,2,N,1,1,581,4,0
1,W,may,1,W,1,1,487,3,18544
1,W,members,1,W,1,1,475,7,3700
1,W,men,1,W,1,1,567,3,11745
1,W,met,1,W,1,1,482,3,2650
1,W,met.,2,N,0,1,634,4,2652
1,N,micceed,2,N,1,1,503,7,0
1,W,middle,1,W,1,1,491,6,2737
1,N,mifed,2,N,1,1,612,5,0
1,N,milack,2,N,1,1,535,6,0
1,W,miles,1,W,1,1,559,5,2455
1,W,million,1,W,1,1,496,7,3518
1,N,minching,2,N,1,1,617,8,0
1,N,minsy,2,N,1,1,574,5,0
1,W,minutes,1,W,1,1,491,7,3829
1,N,mirt,2,N,1,1,553,4,0
1,N,misprolt,2,N,1,1,571,8,0
1,N,misspeaf,2,N,1,1,613,8,0
1,N,mithe,2,N,1,1,562,5,0
1,W,modern,1,W,1,1,458,6,2992
1,N,moroste,2,N,1,1,666,7,0
1,N,moughs,2,N,1,1,521,6,0
1,W,move,1,W,1,1,494,4,3314
1,W,much,1,W,1,1,718,4,21286
1,W,music,1,W,1,1,502,5,2391
1,W,must,1,W,1,1,675,4,16520
1,W,nature,1,W,1,1,501,6,3353
1,W,nearly,1,W,1,1,533,6,2465
1,W,needed,1,W,1,1,500,6,2755
1,W,needs,1,W,1,1,535,5,2940
1,N,nerror,2,N,1,1,589,6,0
1,W,never,1,W,1,1,683,5,16068
1,W,new,1,W,1,1,507,3,19011
1,W,next,1,W,1,1,542,4,8171
1,W,nice,1,W,1,1,524,4,2528
1,W,night,1,W,1,1,520,5,7671
1,N,niglip,2,N,1,1,586,6,0
1,N,nintings,2,N,1,1,582,8,0
1,N,nistoi,2,N,1,1,577,6,0
1,W,north,1,W,1,1,543,5,2579
1,W,nuclear,1,W,1,1,521,7,2767
1,W,number,1,W,1,1,529,6,5715
1,N,oards,2,N,1,0,681,5,0
1,W,often,1,W,1,1,513,5,8409
1,W,one,1,W,1,1,445,3,61857
1,N,onlam,2,N,1,1,536,5,0
1,W,open,1,W,1,1,577,4,5291
1,N,outflay,2,N,1,1,755,7,0
1,W,outside,1,W,1,1,521,7,4573
1,N,pafts,2,N,1,1,704,5,0
1,N,palljord,2,N,1,1,537,8,0
1,N,papit,2,N,1,1,598,5,0
1,W,parents,1,W,1,1,506,7,4413
1,W,party,1,W,1,1,456,5,6669
1,W,past,1,W,1,1,500,4,4922
1,W,pay,1,W,1,1,482,3,3399
1,N,paybods,2,N,1,0,591,7,0
1,W,person,1,W,1,1,556,6,4090
1,N,pesgert,2,N,1,1,511,7,0
1,N,phope,2,N,1,1,536,5,0
1,N,pimmers,2,N,1,1,637,7,0
1,N,pirtin,2,N,1,1,643,6,0
1,W,place,1,W,1,1,474,5,9768
1,N,plainpang,2,N,1,1,635,9,0
1,N,pluding,2,N,1,1,592,7,0
1,N,poblor,2,N,1,1,468,6,0
1,W,point,1,W,1,1,510,5,7222
1,N,pokrons,2,N,1,1,514,7,0
1,N,pones,2,N,1,1,708,5,0
1,W,poor,1,W,1,1,416,4,4039
1,N,postbonds,2,N,1,1,854,9,0
1,W,power,1,W,1,1,522,5,5913
1,N,prache,2,N,1,1,541,6,0
1,N,predact,2,N,1,1,648,7,0
1,W,present,1,W,1,1,570,7,4386
1,W,press,1,W,1,1,522,5,2409
1,N,prug,2,N,1,1,594,4,0
1,W,put,1,W,1,1,597,3,12303
1,N,quave,2,N,1,1,700,5,0
1,W,question,1,W,1,1,468,8,5211
1,W,quickly,1,W,1,1,521,7,2677
1,N,ralmy,2,N,1,1,592,5,0
1,N,ralp,2,N,1,1,680,4,0
1,N,rankpay,2,N,1,1,584,7,0
1,W,read,1,W,1,1,490,4,5247
1,W,reading,1,W,1,1,445,7,3232
1,W,really,1,W,1,1,477,6,10617
1,N,reast,2,N,1,1,562,5,0
1,N,rebants,2,N,1,1,567,7,0
1,N,rebobbed,2,N,1,0,543,8,0
1,N,rebole,2,N,1,1,556,6,0
1,N,resperce,2,N,1,1,604,8,0
1,N,restrudes,2,N,1,1,595,9,0
1,W,right,1,W,1,0,515,5,14779
1,N,rirble,2,N,1,1,484,6,0
1,N,roelies,2,N,1,1,459,7,0
1,N,rof,2,N,1,1,516,3,0
1,W,running,1,W,1,1,497,7,2925
1,N,ruttered,1,W,0,1,1036,8,0
1,N,sawling,2,N,1,1,589,7,0
1,N,scanser,2,N,1,1,581,7,0
1,N,scorks,2,N,1,1,556,6,0
1,N,scrawed,2,N,1,1,697,7,0
1,N,scrembers,2,N,1,1,617,9,0
1,N,seabock,2,N,1,1,610,7,0
1,N,sebnent,2,N,1,1,572,7,0
1,W,second,1,W,1,1,525,6,6089
1,N,senia,2,N,1,1,792,5,0
1,W,sense,1,W,1,1,482,5,5149
1,W,sent,1,W,1,1,520,4,2755
1,N,sesemn,2,N,1,1,620,6,0
1,N,sheihold,2,N,1,1,584,8,0
1,N,shele,2,N,1,1,604,5,0
1,N,shockle,2,N,1,1,640,7,0
1,W,short,1,W,1,1,493,5,3454
1,N,shothing,2,N,1,1,711,8,0
1,N,shuthogs,2,N,1,1,784,8,0
1,N,sildal,2,N,1,0,695,6,0
1,N,simly,2,N,1,1,542,5,0
1,W,simply,1,W,1,1,522,6,4161
1,N,sinesman,2,N,1,1,594,8,0
1,W,single,1,W,1,1,527,6,2623
1,N,sittered,2,N,1,1,842,8,0
1,W,sitting,1,W,1,0,533,7,2687
1,W,six,1,W,1,1,516,3,3794
1,N,skyweak,2,N,1,1,748,7,0
1,N,sleener,2,N,1,1,672,7,0
1,N,smeardy,2,N,1,1,526,7,0
1,N,soathe,1,W,0,1,601,6,0
1,W,social,1,W,1,0,495,6,7192
1,N,soffle,2,N,1,1,748,6,0
1,W,someone,1,W,1,1,515,7,3755
1,W,sometimes,1,W,1,1,639,9,5226
1,W,soon,1,W,1,1,436,4,5116
1,W,sort,1,W,1,1,564,4,5883
1,W,south,1,W,1,1,555,5,3512
1,N,spoomed,2,N,1,1,639,7,0
1,N,spush,2,N,1,1,592,5,0
1,N,squench,2,N,1,1,845,7,0
1,N,squites,2,N,1,1,576,7,0
1,W,stand,1,W,1,1,565,5,2462
1,W,start,1,W,1,1,546,5,3841
1,W,started,1,W,1,1,560,7,3630
1,N,stase,2,N,1,1,675,5,0
1,W,state,1,W,1,1,505,5,5299
1,W,stay,1,W,1,1,520,4,2792
1,N,stenned,2,N,1,1,769,7,0
1,W,stopped,1,W,1,1,521,7,2605
1,N,stouls,2,N,1,1,489,6,0
1,W,students,1,W,1,1,451,8,3587
1,W,study,1,W,1,1,513,5,2502
1,N,suare,2,N,1,1,540,5,0
1,W,subject,1,W,1,1,510,7,2952
1,W,sun,1,W,1,1,513,3,2689
1,W,sure,1,W,1,1,459,4,5439
1,W,system,1,W,1,1,726,6,5352
1,W,table,1,W,1,1,497,5,3645
1,W,take,1,W,1,1,607,4,13804
1,W,talk,1,W,1,1,524,4,4671
1,N,tantrids,2,N,1,1,538,8,0
1,N,tarve,2,N,1,1,577,5,0
1,N,tebts,2,N,1,1,725,5,0
1,N,tedge,2,N,1,1,568,5,0
1,W,terms,1,W,1,1,511,5,3097
1,N,texbres,2,N,1,0,643,7,0
1,N,thewsands,2,N,1,1,647,9,0
1,W,thing,1,W,1,1,538,5,9722
1,W,things,1,W,1,1,618,6,11100
1,W,think,1,W,1,1,517,5,21904
1,W,thinking,1,W,1,1,528,8,3239
1,W,third,1,W,1,1,592,5,3534
1,N,thorms,2,N,1,1,587,6,0
1,W,three,1,W,1,1,494,5,11344
1,N,thushing,2,N,1,1,540,8,0
1,N,thuting,2,N,1,1,523,7,0
1,N,timier,2,N,1,1,750,6,0
1,W,today,1,W,1,1,486,5,4123
1,N,toge,2,N,1,1,570,4,0
1,W,told,1,W,1,1,579,4,8815
1,W,took,1,W,1,1,608,4,8508
1,W,total,1,W,1,1,627,5,2436
1,N,touding,2,N,1,0,567,7,0
1,N,towd,2,N,1,1,549,4,0
1,N,towth,2,N,1,1,555,5,0
1,N,trag,2,N,1,1,683,4,0
1,N,trartgerse,2,N,1,1,554,10,0
1,N,tredies,2,N,1,1,535,7,0
1,N,tricums,2,N,1,1,862,7,0
1,W,tried,1,W,1,1,557,5,3800
1,N,trirule,2,N,1,1,507,7,0
1,N,trombles,2,N,1,1,565,8,0
1,N,trote,2,N,1,1,526,5,0
1,W,trouble,1,W,1,1,489,7,2631
1,W,try,1,W,1,1,523,3,4804
1,W,trying,1,W,1,1,521,6,4318
1,N,tryres,2,N,1,1,570,6,0
1,N,tuge,2,N,1,1,581,4,0
1,N,tunted,2,N,1,1,626,6,0
1,N,tupgring,2,N,1,1,829,8,0
1,W,turned,1,W,1,1,554,6,5815
1,N,turos,2,N,1,1,539,5,0
1,N,twockotts,2,N,1,0,615,9,0
1,N,unrouse,2,N,1,1,766,7,0
1,N,varom,2,N,1,1,598,5,0
