song_id,performer,song,spotify_genre,danceability,loudness,speechiness,valence,spotify_track_popularity
Take It On BackChase Bryant,Chase Bryant,Take It On Back,"['contemporary country', 'country pop', 'country road', 'modern country rock']",0.558,-5.378,0.0645,0.672,49
Gangsta BitchApache,Apache,Gangsta Bitch,['cumbia'],0.873,-14.872,0.412,0.611,43
The End Of The WorldSkeeter Davis,Skeeter Davis,The End Of The World,"['brill building pop', 'nashville sound']",0.232,-10.674,0.0314,0.432,61
My Tears RicochetTaylor Swift,Taylor Swift,My Tears Ricochet,"['pop', 'post-teen pop']",0.456,-10.63,0.0332,0.111,72
MockingbirdEminem,Eminem,Mockingbird,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",0.592,-4.411,0.248,0.208,70
American OxygenRihanna,Rihanna,American Oxygen,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",0.233,-6.268,0.151,0.503,61
Call MeBlondie,Blondie,Call Me,"['candy pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']",0.554,-6.667,0.0347,0.773,66
A$AP ForeverA$AP Rocky Featuring Moby,A$AP Rocky Featuring Moby,A$AP Forever,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",0.469,-6.49,0.122,0.444,70
Chinese DemocracyGuns N' Roses,Guns N' Roses,Chinese Democracy,"['glam metal', 'hard rock', 'rock']",0.474,-10.472,0.0775,0.156,55
Put You In A SongKeith Urban,Keith Urban,Put You In A Song,"['australian country', 'contemporary country', 'country', 'country road']",0.621,-8.502,0.0333,0.822,40
Jook Gal (Wine Wine)Elephant Man,Elephant Man,Jook Gal (Wine Wine),"['dancehall', 'old school dancehall', 'reggae fusion', 'soca']",0.949,-7.062,0.198,0.963,45
2 StepUnk,Unk,2 Step,"['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.721,-6.145,0.192,0.643,53
Draggin' The LineTommy James,Tommy James,Draggin' The Line,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']",0.669,-9.165,0.0689,0.647,47
The Last Backyard...YoungBoy Never Broke Again,YoungBoy Never Broke Again,The Last Backyard...,"['baton rouge rap', 'trap']",0.592,-6.325,0.204,0.815,57
The GhettoToo $hort,Too $hort,The Ghetto,"['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']",0.947,-12.844,0.27,0.36,56
I Love CollegeAsher Roth,Asher Roth,I Love College,"['indie pop rap', 'pop rap', 'rap']",0.708,-4.044,0.25,0.657,63
Llame Pa' VerteWisin & Yandel,Wisin & Yandel,Llame Pa' Verte,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'tropical']",0.856,-5.132,0.072,0.649,59
StickwituThe Pussycat Dolls,The Pussycat Dolls,Stickwitu,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",0.652,-6.299,0.052,0.372,65
Come DancingThe Kinks,The Kinks,Come Dancing,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",0.499,-11.617,0.0704,0.895,50
The Secret Of LifeFaith Hill,Faith Hill,The Secret Of Life,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",0.609,-7.575,0.0397,0.627,34
This WayDilated Peoples Featuring Kanye West,Dilated Peoples Featuring Kanye West,This Way,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'turntablism', 'west coast rap']",0.51,-4.56,0.402,0.628,49
If I Could Turn Back TimeCher,Cher,If I Could Turn Back Time,"['dance pop', 'hollywood', 'new wave pop', 'pop']",0.654,-10.313,0.0268,0.527,73
Without YouGlee Cast,Glee Cast,Without You,"['glee club', 'hollywood', 'post-teen pop']",0.467,-6.086,0.0525,0.0977,52
GhostElla Henderson,Ella Henderson,Ghost,"['dance pop', 'pop', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",0.68,-3.823,0.0415,0.468,58
Policy Of TruthDepeche Mode,Depeche Mode,Policy Of Truth,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']",0.679,-7.301,0.028,0.356,58
Let's Get CrazyHannah Montana,Hannah Montana,Let's Get Crazy,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",0.72,-3.67,0.0491,0.8,49
Only Love Can Break A HeartBobby Vinton,Bobby Vinton,Only Love Can Break A Heart,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']",0.327,-9.026,0.0294,0.243,22
I'm In A Different WorldFour Tops,Four Tops,I'm In A Different World,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.581,-12.269,0.031,0.544,29
Broomstick CowboyBobby Goldsboro,Bobby Goldsboro,Broomstick Cowboy,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",0.558,-12.951,0.0314,0.335,30
TIC TOC6ix9ine Featuring Lil Baby,6ix9ine Featuring Lil Baby,TIC TOC,"['emo rap', 'trap']",0.82,-6.646,0.0723,0.683,68
Everytime You CryThe Outfield,The Outfield,Everytime You Cry,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'rock', 'soft rock']",0.331,-14.002,0.0295,0.181,42
