subject.exp,gender,age,list,property.type,exception.type,condition,item.no,statement,response
13,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
13,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
13,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
14,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
14,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
14,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
14,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
14,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
14,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
14,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
14,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
15,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
15,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,0
15,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
15,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
15,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
15,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
15,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
15,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
16,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
16,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
16,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
16,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
16,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
16,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
16,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
16,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
17,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
17,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
17,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
17,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
17,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
17,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
17,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
17,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
18,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
18,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,0
18,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
18,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
18,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
18,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
18,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
18,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
19,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
19,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
19,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
19,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
19,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
19,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
19,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
19,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
20,female,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
20,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
20,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
20,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
20,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
20,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
20,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,0
20,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
21,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
21,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,0
21,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
21,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
21,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
